aqs_id_full,geoid,area_land
840999999995,360610056001,0.086633
840999999995,360610125002,0.033835
840999999995,360610091001,0.021769
840999999995,360610072004,0.03641
840999999995,360610093001,0.04951
840999999995,360610111001,0.08769
840999999995,360610080001,0.049487
840999999995,360610095002,0.085884
840999999995,360610125001,0.087176
840999999995,360610097004,0.022262
840999999995,360610084001,0.050755
840999999995,360610070024,0.017104
840999999995,360610074004,0.012625
840999999995,360610111003,0.04299
840999999995,360610074002,0.036756
840999999995,360610097003,0.023152
840999999995,360610091004,0.046415
840999999995,360610092002,0.110116
840999999995,360610115002,0.087769
840999999995,360610058001,0.048669
840999999995,360610072001,0.013022
840999999995,360610121012,0.043783999999999997
840999999995,360610074005,0.050429
840999999995,360610091003,0.023184
840999999995,360610091005,0.043077
840999999995,360610091006,0.021644
840999999995,360610074003,0.036398
840999999995,360610082003,0.024523
